Oil,Kernels
None,86
None,94
None,87
None,91
None,90
None,92
None,90
None,88
None,88
None,90
None,92
None,92
None,95
None,91
None,94
None,95
None,87
None,92
None,96
None,89
None,89
None,94
None,88
None,93
None,90
1/2 tsp,97
1/2 tsp,93
1/2 tsp,94
1/2 tsp,96
1/2 tsp,95
1/2 tsp,96
1/2 tsp,89
1/2 tsp,96
1/2 tsp,92
1/2 tsp,95
1/2 tsp,95
1/2 tsp,94
1/2 tsp,97
1/2 tsp,90
1/2 tsp,93
1/2 tsp,92
1/2 tsp,94
1/2 tsp,93
1/2 tsp,99
1/2 tsp,87
1/2 tsp,93
1/2 tsp,93
1/2 tsp,92
1/2 tsp,93
1/2 tsp,93
1 tsp,85
1 tsp,92
1 tsp,85
1 tsp,93
1 tsp,94
1 tsp,92
1 tsp,94
1 tsp,86
1 tsp,88
1 tsp,91
1 tsp,92
1 tsp,91
1 tsp,91
1 tsp,87
1 tsp,89
1 tsp,95
1 tsp,91
1 tsp,85
1 tsp,92
1 tsp,94
1 tsp,90
1 tsp,87
1 tsp,91
1 tsp,90
1 tsp,91
